time, step, current, voltage, chgAh, disAh
6901.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6902.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6903.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6904.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6905.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6906.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6907.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6908.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6909.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6910.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6911.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6912.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6913.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6914.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6915.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6916.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6917.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6918.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6919.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6920.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6921.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6922.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6923.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6924.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6925.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6926.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6927.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6928.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6929.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6930.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6931.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
6932.0272, 1.0000, -0.0000, 3.5668, 0.0000, 0.0000,
