time, step, current, voltage, chgAh, disAh
19182.0110, 11.0000, -0.7428, 2.1982, 0.0000, 0.0000,
19183.0110, 11.0000, -0.7672, 2.3247, 0.0002, 0.0000,
19184.0110, 11.0000, -0.7673, 2.4014, 0.0004, 0.0000,
19185.0110, 11.0000, -0.7673, 2.4358, 0.0006, 0.0000,
19186.0110, 11.0000, -0.7673, 2.4529, 0.0009, 0.0000,
19187.0110, 11.0000, -0.7673, 2.4644, 0.0011, 0.0000,
19188.0110, 11.0000, -0.7690, 2.4736, 0.0013, 0.0000,
19189.0110, 11.0000, -0.7693, 2.4812, 0.0015, 0.0000,
19190.0110, 11.0000, -0.7693, 2.4879, 0.0017, 0.0000,
19191.0110, 11.0000, -0.7693, 2.4942, 0.0019, 0.0000,
19192.0110, 11.0000, -0.7660, 2.5000, 0.0021, 0.0000,
19193.0110, 11.0000, -0.7686, 2.5057, 0.0023, 0.0000,
19194.0110, 11.0000, -0.7693, 2.5109, 0.0026, 0.0000,
19195.0110, 11.0000, -0.7677, 2.5159, 0.0028, 0.0000,
19196.0110, 11.0000, -0.7673, 2.5209, 0.0030, 0.0000,
19197.0110, 11.0000, -0.7688, 2.5256, 0.0032, 0.0000,
19198.0110, 11.0000, -0.7693, 2.5304, 0.0034, 0.0000,
19199.0110, 11.0000, -0.7678, 2.5350, 0.0036, 0.0000,
19200.0110, 11.0000, -0.7673, 2.5396, 0.0038, 0.0000,
19201.0110, 11.0000, -0.7673, 2.5440, 0.0041, 0.0000,
19202.0110, 11.0000, -0.7673, 2.5486, 0.0043, 0.0000,
19203.0110, 11.0000, -0.7673, 2.5531, 0.0045, 0.0000,
19204.0110, 11.0000, -0.7673, 2.5577, 0.0047, 0.0000,
19205.0110, 11.0000, -0.7686, 2.5623, 0.0049, 0.0000,
19206.0110, 11.0000, -0.7693, 2.5670, 0.0051, 0.0000,
19207.0110, 11.0000, -0.7705, 2.5716, 0.0053, 0.0000,
19208.0110, 11.0000, -0.7688, 2.5761, 0.0055, 0.0000,
19209.0110, 11.0000, -0.7685, 2.5807, 0.0058, 0.0000,
19210.0110, 11.0000, -0.7681, 2.5852, 0.0060, 0.0000,
19211.0110, 11.0000, -0.7684, 2.5897, 0.0062, 0.0000,
19212.0110, 11.0000, -0.7682, 2.5941, 0.0064, 0.0000,
19213.0110, 11.0000, -0.7684, 2.5985, 0.0066, 0.0000,
19214.0110, 11.0000, -0.7693, 2.6028, 0.0068, 0.0000,
19215.0110, 11.0000, -0.7703, 2.6069, 0.0070, 0.0000,
19216.0110, 11.0000, -0.7693, 2.6111, 0.0073, 0.0000,
19217.0110, 11.0000, -0.7673, 2.6151, 0.0075, 0.0000,
19218.0110, 11.0000, -0.7673, 2.6190, 0.0077, 0.0000,
19219.0110, 11.0000, -0.7673, 2.6227, 0.0079, 0.0000,
19220.0110, 11.0000, -0.7682, 2.6265, 0.0081, 0.0000,
19221.0110, 11.0000, -0.7693, 2.6302, 0.0083, 0.0000,
19222.0110, 11.0000, -0.7701, 2.6339, 0.0085, 0.0000,
19223.0110, 11.0000, -0.7713, 2.6374, 0.0087, 0.0000,
19224.0110, 11.0000, -0.7697, 2.6409, 0.0090, 0.0000,
19225.0110, 11.0000, -0.7673, 2.6442, 0.0092, 0.0000,
19226.0110, 11.0000, -0.7673, 2.6475, 0.0094, 0.0000,
19227.0110, 11.0000, -0.7673, 2.6509, 0.0096, 0.0000,
19228.0110, 11.0000, -0.7673, 2.6543, 0.0098, 0.0000,
19229.0110, 11.0000, -0.7679, 2.6574, 0.0100, 0.0000,
19230.0110, 11.0000, -0.7693, 2.6605, 0.0102, 0.0000,
19231.0110, 11.0000, -0.7693, 2.6637, 0.0105, 0.0000,
19232.0110, 11.0000, -0.7687, 2.6668, 0.0107, 0.0000,
19233.0110, 11.0000, -0.7673, 2.6698, 0.0109, 0.0000,
19234.0110, 11.0000, -0.7678, 2.6729, 0.0111, 0.0000,
19235.0110, 11.0000, -0.7688, 2.6758, 0.0113, 0.0000,
19236.0110, 11.0000, -0.7668, 2.6786, 0.0115, 0.0000,
19237.0110, 11.0000, -0.7661, 2.6815, 0.0117, 0.0000,
19238.0110, 11.0000, -0.7697, 2.6844, 0.0119, 0.0000,
19239.0110, 11.0000, -0.7709, 2.6872, 0.0122, 0.0000,
19240.0110, 11.0000, -0.7689, 2.6898, 0.0124, 0.0000,
19241.0110, 11.0000, -0.7673, 2.6927, 0.0126, 0.0000,
19242.0110, 11.0000, -0.7670, 2.6952, 0.0128, 0.0000,
19243.0110, 11.0000, -0.7656, 2.6977, 0.0130, 0.0000,
19244.0110, 11.0000, -0.7671, 2.7005, 0.0132, 0.0000,
19245.0110, 11.0000, -0.7659, 2.7031, 0.0134, 0.0000,
19246.0110, 11.0000, -0.7711, 2.7056, 0.0137, 0.0000,
19247.0110, 11.0000, -0.7694, 2.7079, 0.0139, 0.0000,
19248.0110, 11.0000, -0.7710, 2.7105, 0.0141, 0.0000,
19249.0110, 11.0000, -0.7672, 2.7130, 0.0143, 0.0000,
19250.0110, 11.0000, -0.7654, 2.7154, 0.0145, 0.0000,
19251.0110, 11.0000, -0.7673, 2.7180, 0.0147, 0.0000,
19252.0110, 11.0000, -0.7673, 2.7203, 0.0149, 0.0000,
19253.0110, 11.0000, -0.7673, 2.7227, 0.0151, 0.0000,
19254.0110, 11.0000, -0.7692, 2.7249, 0.0154, 0.0000,
19255.0110, 11.0000, -0.7693, 2.7270, 0.0156, 0.0000,
19256.0110, 11.0000, -0.7693, 2.7294, 0.0158, 0.0000,
19257.0110, 11.0000, -0.7674, 2.7315, 0.0160, 0.0000,
19258.0110, 11.0000, -0.7673, 2.7337, 0.0162, 0.0000,
19259.0110, 11.0000, -0.7691, 2.7358, 0.0164, 0.0000,
19260.0110, 11.0000, -0.7675, 2.7381, 0.0166, 0.0000,
19261.0110, 11.0000, -0.7673, 2.7402, 0.0169, 0.0000,
19262.0110, 11.0000, -0.7690, 2.7423, 0.0171, 0.0000,
19263.0110, 11.0000, -0.7693, 2.7443, 0.0173, 0.0000,
19264.0110, 11.0000, -0.7709, 2.7464, 0.0175, 0.0000,
19265.0110, 11.0000, -0.7680, 2.7485, 0.0177, 0.0000,
19266.0110, 11.0000, -0.7673, 2.7503, 0.0179, 0.0000,
19267.0110, 11.0000, -0.7673, 2.7524, 0.0181, 0.0000,
19268.0110, 11.0000, -0.7673, 2.7543, 0.0183, 0.0000,
19269.0110, 11.0000, -0.7673, 2.7563, 0.0186, 0.0000,
19270.0110, 11.0000, -0.7688, 2.7583, 0.0188, 0.0000,
19271.0110, 11.0000, -0.7678, 2.7600, 0.0190, 0.0000,
19272.0110, 11.0000, -0.7687, 2.7619, 0.0192, 0.0000,
19273.0110, 11.0000, -0.7679, 2.7638, 0.0194, 0.0000,
19274.0110, 11.0000, -0.7673, 2.7657, 0.0196, 0.0000,
19275.0110, 11.0000, -0.7687, 2.7675, 0.0198, 0.0000,
19276.0110, 11.0000, -0.7693, 2.7694, 0.0201, 0.0000,
19277.0110, 11.0000, -0.7666, 2.7711, 0.0203, 0.0000,
19278.0110, 11.0000, -0.7679, 2.7729, 0.0205, 0.0000,
19279.0110, 11.0000, -0.7680, 2.7748, 0.0207, 0.0000,
19280.0110, 11.0000, -0.7685, 2.7765, 0.0209, 0.0000,
19281.0110, 11.0000, -0.7681, 2.7781, 0.0211, 0.0000,
19282.0110, 11.0000, -0.7685, 2.7797, 0.0213, 0.0000,
19283.0110, 11.0000, -0.7681, 2.7815, 0.0215, 0.0000,
19284.0110, 11.0000, -0.7673, 2.7832, 0.0218, 0.0000,
19285.0110, 11.0000, -0.7684, 2.7850, 0.0220, 0.0000,
19286.0110, 11.0000, -0.7693, 2.7867, 0.0222, 0.0000,
19287.0110, 11.0000, -0.7682, 2.7883, 0.0224, 0.0000,
19288.0110, 11.0000, -0.7673, 2.7899, 0.0226, 0.0000,
19289.0110, 11.0000, -0.7673, 2.7915, 0.0228, 0.0000,
19290.0110, 11.0000, -0.7673, 2.7931, 0.0230, 0.0000,
19291.0110, 11.0000, -0.7682, 2.7947, 0.0233, 0.0000,
19292.0110, 11.0000, -0.7684, 2.7963, 0.0235, 0.0000,
19293.0110, 11.0000, -0.7673, 2.7979, 0.0237, 0.0000,
19294.0110, 11.0000, -0.7681, 2.7995, 0.0239, 0.0000,
19295.0110, 11.0000, -0.7701, 2.8012, 0.0241, 0.0000,
19296.0110, 11.0000, -0.7705, 2.8026, 0.0243, 0.0000,
