time, step, current, voltage, chgAh, disAh
18994.0028, 11.0000, -0.6460, 2.1664, 0.0000, 0.0000,
18995.0028, 11.0000, -0.7669, 2.3016, 0.0002, 0.0000,
18996.0028, 11.0000, -0.7673, 2.3857, 0.0004, 0.0000,
18997.0028, 11.0000, -0.7657, 2.4262, 0.0006, 0.0000,
18998.0028, 11.0000, -0.7669, 2.4456, 0.0009, 0.0000,
18999.0028, 11.0000, -0.7673, 2.4581, 0.0011, 0.0000,
19000.0028, 11.0000, -0.7688, 2.4675, 0.0013, 0.0000,
19001.0028, 11.0000, -0.7678, 2.4752, 0.0015, 0.0000,
19002.0028, 11.0000, -0.7673, 2.4824, 0.0017, 0.0000,
19003.0028, 11.0000, -0.7687, 2.4888, 0.0019, 0.0000,
19004.0028, 11.0000, -0.7679, 2.4947, 0.0021, 0.0000,
19005.0028, 11.0000, -0.7673, 2.5002, 0.0023, 0.0000,
19006.0028, 11.0000, -0.7686, 2.5056, 0.0026, 0.0000,
19007.0028, 11.0000, -0.7680, 2.5107, 0.0028, 0.0000,
19008.0028, 11.0000, -0.7673, 2.5157, 0.0030, 0.0000,
19009.0028, 11.0000, -0.7685, 2.5206, 0.0032, 0.0000,
19010.0028, 11.0000, -0.7680, 2.5253, 0.0034, 0.0000,
19011.0028, 11.0000, -0.7685, 2.5299, 0.0036, 0.0000,
19012.0028, 11.0000, -0.7681, 2.5346, 0.0038, 0.0000,
19013.0028, 11.0000, -0.7673, 2.5391, 0.0041, 0.0000,
19014.0028, 11.0000, -0.7673, 2.5436, 0.0043, 0.0000,
19015.0028, 11.0000, -0.7695, 2.5483, 0.0045, 0.0000,
19016.0028, 11.0000, -0.7691, 2.5530, 0.0047, 0.0000,
19017.0028, 11.0000, -0.7673, 2.5575, 0.0049, 0.0000,
19018.0028, 11.0000, -0.7683, 2.5621, 0.0051, 0.0000,
19019.0028, 11.0000, -0.7693, 2.5669, 0.0053, 0.0000,
19020.0028, 11.0000, -0.7683, 2.5714, 0.0055, 0.0000,
19021.0028, 11.0000, -0.7673, 2.5760, 0.0058, 0.0000,
19022.0028, 11.0000, -0.7682, 2.5806, 0.0060, 0.0000,
19023.0028, 11.0000, -0.7684, 2.5851, 0.0062, 0.0000,
19024.0028, 11.0000, -0.7673, 2.5897, 0.0064, 0.0000,
19025.0028, 11.0000, -0.7681, 2.5941, 0.0066, 0.0000,
19026.0028, 11.0000, -0.7693, 2.5984, 0.0068, 0.0000,
19027.0028, 11.0000, -0.7677, 2.6026, 0.0070, 0.0000,
19028.0028, 11.0000, -0.7660, 2.6068, 0.0073, 0.0000,
19029.0028, 11.0000, -0.7673, 2.6110, 0.0075, 0.0000,
19030.0028, 11.0000, -0.7673, 2.6149, 0.0077, 0.0000,
19031.0028, 11.0000, -0.7673, 2.6189, 0.0079, 0.0000,
19032.0028, 11.0000, -0.7679, 2.6228, 0.0081, 0.0000,
19033.0028, 11.0000, -0.7693, 2.6263, 0.0083, 0.0000,
19034.0028, 11.0000, -0.7687, 2.6300, 0.0085, 0.0000,
19035.0028, 11.0000, -0.7678, 2.6337, 0.0087, 0.0000,
19036.0028, 11.0000, -0.7687, 2.6372, 0.0090, 0.0000,
19037.0028, 11.0000, -0.7673, 2.6407, 0.0092, 0.0000,
19038.0028, 11.0000, -0.7668, 2.6440, 0.0094, 0.0000,
19039.0028, 11.0000, -0.7657, 2.6473, 0.0096, 0.0000,
19040.0028, 11.0000, -0.7677, 2.6508, 0.0098, 0.0000,
19041.0028, 11.0000, -0.7693, 2.6541, 0.0100, 0.0000,
19042.0028, 11.0000, -0.7686, 2.6572, 0.0102, 0.0000,
19043.0028, 11.0000, -0.7656, 2.6604, 0.0105, 0.0000,
19044.0028, 11.0000, -0.7676, 2.6636, 0.0107, 0.0000,
19045.0028, 11.0000, -0.7690, 2.6665, 0.0109, 0.0000,
19046.0028, 11.0000, -0.7673, 2.6697, 0.0111, 0.0000,
19047.0028, 11.0000, -0.7675, 2.6727, 0.0113, 0.0000,
19048.0028, 11.0000, -0.7693, 2.6758, 0.0115, 0.0000,
19049.0028, 11.0000, -0.7691, 2.6787, 0.0117, 0.0000,
19050.0028, 11.0000, -0.7673, 2.6814, 0.0119, 0.0000,
19051.0028, 11.0000, -0.7674, 2.6843, 0.0122, 0.0000,
19052.0028, 11.0000, -0.7692, 2.6870, 0.0124, 0.0000,
19053.0028, 11.0000, -0.7673, 2.6899, 0.0126, 0.0000,
19054.0028, 11.0000, -0.7673, 2.6926, 0.0128, 0.0000,
19055.0028, 11.0000, -0.7673, 2.6952, 0.0130, 0.0000,
19056.0028, 11.0000, -0.7692, 2.6979, 0.0132, 0.0000,
19057.0028, 11.0000, -0.7654, 2.7005, 0.0134, 0.0000,
19058.0028, 11.0000, -0.7691, 2.7032, 0.0137, 0.0000,
19059.0028, 11.0000, -0.7674, 2.7055, 0.0139, 0.0000,
19060.0028, 11.0000, -0.7673, 2.7082, 0.0141, 0.0000,
19061.0028, 11.0000, -0.7673, 2.7106, 0.0143, 0.0000,
19062.0028, 11.0000, -0.7673, 2.7130, 0.0145, 0.0000,
19063.0028, 11.0000, -0.7673, 2.7156, 0.0147, 0.0000,
19064.0028, 11.0000, -0.7655, 2.7179, 0.0149, 0.0000,
19065.0028, 11.0000, -0.7704, 2.7202, 0.0151, 0.0000,
19066.0028, 11.0000, -0.7679, 2.7226, 0.0154, 0.0000,
19067.0028, 11.0000, -0.7689, 2.7251, 0.0156, 0.0000,
19068.0028, 11.0000, -0.7676, 2.7272, 0.0158, 0.0000,
19069.0028, 11.0000, -0.7689, 2.7295, 0.0160, 0.0000,
19070.0028, 11.0000, -0.7677, 2.7317, 0.0162, 0.0000,
19071.0028, 11.0000, -0.7688, 2.7339, 0.0164, 0.0000,
19072.0028, 11.0000, -0.7677, 2.7360, 0.0166, 0.0000,
19073.0028, 11.0000, -0.7688, 2.7382, 0.0169, 0.0000,
19074.0028, 11.0000, -0.7693, 2.7404, 0.0171, 0.0000,
19075.0028, 11.0000, -0.7693, 2.7423, 0.0173, 0.0000,
19076.0028, 11.0000, -0.7679, 2.7445, 0.0175, 0.0000,
19077.0028, 11.0000, -0.7673, 2.7466, 0.0177, 0.0000,
19078.0028, 11.0000, -0.7673, 2.7486, 0.0179, 0.0000,
19079.0028, 11.0000, -0.7673, 2.7505, 0.0181, 0.0000,
19080.0028, 11.0000, -0.7686, 2.7526, 0.0183, 0.0000,
19081.0028, 11.0000, -0.7693, 2.7544, 0.0186, 0.0000,
19082.0028, 11.0000, -0.7680, 2.7563, 0.0188, 0.0000,
19083.0028, 11.0000, -0.7673, 2.7583, 0.0190, 0.0000,
19084.0028, 11.0000, -0.7673, 2.7602, 0.0192, 0.0000,
19085.0028, 11.0000, -0.7673, 2.7622, 0.0194, 0.0000,
19086.0028, 11.0000, -0.7684, 2.7641, 0.0196, 0.0000,
19087.0028, 11.0000, -0.7682, 2.7659, 0.0198, 0.0000,
19088.0028, 11.0000, -0.7684, 2.7679, 0.0201, 0.0000,
19089.0028, 11.0000, -0.7682, 2.7695, 0.0203, 0.0000,
19090.0028, 11.0000, -0.7673, 2.7713, 0.0205, 0.0000,
19091.0028, 11.0000, -0.7673, 2.7732, 0.0207, 0.0000,
19092.0028, 11.0000, -0.7673, 2.7750, 0.0209, 0.0000,
19093.0028, 11.0000, -0.7673, 2.7768, 0.0211, 0.0000,
19094.0028, 11.0000, -0.7682, 2.7785, 0.0213, 0.0000,
19095.0028, 11.0000, -0.7684, 2.7803, 0.0215, 0.0000,
19096.0028, 11.0000, -0.7673, 2.7819, 0.0218, 0.0000,
19097.0028, 11.0000, -0.7681, 2.7835, 0.0220, 0.0000,
19098.0028, 11.0000, -0.7685, 2.7853, 0.0222, 0.0000,
19099.0028, 11.0000, -0.7681, 2.7870, 0.0224, 0.0000,
19100.0028, 11.0000, -0.7685, 2.7887, 0.0226, 0.0000,
19101.0028, 11.0000, -0.7673, 2.7902, 0.0228, 0.0000,
19102.0028, 11.0000, -0.7680, 2.7919, 0.0230, 0.0000,
19103.0028, 11.0000, -0.7679, 2.7936, 0.0232, 0.0000,
19104.0028, 11.0000, -0.7672, 2.7950, 0.0235, 0.0000,
19105.0028, 11.0000, -0.7706, 2.7968, 0.0237, 0.0000,
19106.0028, 11.0000, -0.7693, 2.7984, 0.0239, 0.0000,
19107.0028, 11.0000, -0.7693, 2.8000, 0.0241, 0.0000,
19108.0028, 11.0000, -0.7687, 2.8015, 0.0243, 0.0000,
19109.0028, 11.0000, -0.7678, 2.8030, 0.0245, 0.0000,
19110.0028, 11.0000, -0.7683, 2.8046, 0.0247, 0.0000,
19111.0028, 11.0000, -0.7658, 2.8061, 0.0250, 0.0000,
19112.0028, 11.0000, -0.7673, 2.8076, 0.0252, 0.0000,
19113.0028, 11.0000, -0.7681, 2.8091, 0.0254, 0.0000,
19114.0028, 11.0000, -0.7709, 2.8107, 0.0256, 0.0000,
19115.0028, 11.0000, -0.7689, 2.8120, 0.0258, 0.0000,
19116.0028, 11.0000, -0.7673, 2.8136, 0.0260, 0.0000,
19117.0028, 11.0000, -0.7670, 2.8150, 0.0262, 0.0000,
19118.0028, 11.0000, -0.7658, 2.8165, 0.0264, 0.0000,
19119.0028, 11.0000, -0.7690, 2.8179, 0.0267, 0.0000,
19120.0028, 11.0000, -0.7675, 2.8197, 0.0269, 0.0000,
19121.0028, 11.0000, -0.7693, 2.8209, 0.0271, 0.0000,
19122.0028, 11.0000, -0.7691, 2.8222, 0.0273, 0.0000,
19123.0028, 11.0000, -0.7674, 2.8237, 0.0275, 0.0000,
19124.0028, 11.0000, -0.7692, 2.8251, 0.0277, 0.0000,
19125.0028, 11.0000, -0.7674, 2.8266, 0.0279, 0.0000,
19126.0028, 11.0000, -0.7692, 2.8278, 0.0282, 0.0000,
19127.0028, 11.0000, -0.7673, 2.8291, 0.0284, 0.0000,
19128.0028, 11.0000, -0.7673, 2.8306, 0.0286, 0.0000,
19129.0028, 11.0000, -0.7692, 2.8320, 0.0288, 0.0000,
19130.0028, 11.0000, -0.7674, 2.8333, 0.0290, 0.0000,
19131.0028, 11.0000, -0.7673, 2.8347, 0.0292, 0.0000,
19132.0028, 11.0000, -0.7654, 2.8360, 0.0294, 0.0000,
19133.0028, 11.0000, -0.7671, 2.8375, 0.0296, 0.0000,
19134.0028, 11.0000, -0.7691, 2.8388, 0.0299, 0.0000,
19135.0028, 11.0000, -0.7675, 2.8401, 0.0301, 0.0000,
19136.0028, 11.0000, -0.7673, 2.8413, 0.0303, 0.0000,
19137.0028, 11.0000, -0.7690, 2.8426, 0.0305, 0.0000,
19138.0028, 11.0000, -0.7676, 2.8439, 0.0307, 0.0000,
19139.0028, 11.0000, -0.7673, 2.8452, 0.0309, 0.0000,
19140.0028, 11.0000, -0.7689, 2.8465, 0.0311, 0.0000,
19141.0028, 11.0000, -0.7677, 2.8476, 0.0314, 0.0000,
19142.0028, 11.0000, -0.7657, 2.8489, 0.0316, 0.0000,
19143.0028, 11.0000, -0.7669, 2.8502, 0.0318, 0.0000,
19144.0028, 11.0000, -0.7673, 2.8514, 0.0320, 0.0000,
19145.0028, 11.0000, -0.7703, 2.8529, 0.0322, 0.0000,
19146.0028, 11.0000, -0.7698, 2.8539, 0.0324, 0.0000,
19147.0028, 11.0000, -0.7693, 2.8551, 0.0326, 0.0000,
19148.0028, 11.0000, -0.7678, 2.8563, 0.0328, 0.0000,
19149.0028, 11.0000, -0.7687, 2.8575, 0.0331, 0.0000,
19150.0028, 11.0000, -0.7679, 2.8587, 0.0333, 0.0000,
19151.0028, 11.0000, -0.7673, 2.8598, 0.0335, 0.0000,
19152.0028, 11.0000, -0.7686, 2.8611, 0.0337, 0.0000,
19153.0028, 11.0000, -0.7680, 2.8624, 0.0339, 0.0000,
19154.0028, 11.0000, -0.7673, 2.8634, 0.0341, 0.0000,
19155.0028, 11.0000, -0.7685, 2.8647, 0.0343, 0.0000,
19156.0028, 11.0000, -0.7693, 2.8659, 0.0346, 0.0000,
19157.0028, 11.0000, -0.7681, 2.8671, 0.0348, 0.0000,
19158.0028, 11.0000, -0.7684, 2.8683, 0.0350, 0.0000,
19159.0028, 11.0000, -0.7681, 2.8694, 0.0352, 0.0000,
19160.0028, 11.0000, -0.7673, 2.8704, 0.0354, 0.0000,
19161.0028, 11.0000, -0.7684, 2.8717, 0.0356, 0.0000,
19162.0028, 11.0000, -0.7693, 2.8728, 0.0358, 0.0000,
19163.0028, 11.0000, -0.7693, 2.8738, 0.0360, 0.0000,
19164.0028, 11.0000, -0.7683, 2.8749, 0.0363, 0.0000,
19165.0028, 11.0000, -0.7673, 2.8761, 0.0365, 0.0000,
19166.0028, 11.0000, -0.7673, 2.8772, 0.0367, 0.0000,
19167.0028, 11.0000, -0.7673, 2.8783, 0.0369, 0.0000,
19168.0028, 11.0000, -0.7673, 2.8794, 0.0371, 0.0000,
19169.0028, 11.0000, -0.7681, 2.8805, 0.0373, 0.0000,
19170.0028, 11.0000, -0.7693, 2.8816, 0.0375, 0.0000,
19171.0028, 11.0000, -0.7693, 2.8826, 0.0378, 0.0000,
19172.0028, 11.0000, -0.7685, 2.8837, 0.0380, 0.0000,
19173.0028, 11.0000, -0.7673, 2.8847, 0.0382, 0.0000,
19174.0028, 11.0000, -0.7680, 2.8857, 0.0384, 0.0000,
19175.0028, 11.0000, -0.7686, 2.8869, 0.0386, 0.0000,
19176.0028, 11.0000, -0.7673, 2.8879, 0.0388, 0.0000,
19177.0028, 11.0000, -0.7673, 2.8889, 0.0390, 0.0000,
19178.0028, 11.0000, -0.7673, 2.8900, 0.0392, 0.0000,
19179.0028, 11.0000, -0.7673, 2.8909, 0.0395, 0.0000,
19180.0028, 11.0000, -0.7673, 2.8920, 0.0397, 0.0000,
19181.0028, 11.0000, -0.7673, 2.8931, 0.0399, 0.0000,
19182.0028, 11.0000, -0.7673, 2.8940, 0.0401, 0.0000,
19183.0028, 11.0000, -0.7668, 2.8949, 0.0403, 0.0000,
19184.0028, 11.0000, -0.7653, 2.8959, 0.0405, 0.0000,
19185.0028, 11.0000, -0.7661, 2.8970, 0.0407, 0.0000,
19186.0028, 11.0000, -0.7689, 2.8980, 0.0410, 0.0000,
19187.0028, 11.0000, -0.7676, 2.8991, 0.0412, 0.0000,
19188.0028, 11.0000, -0.7693, 2.9001, 0.0414, 0.0000,
19189.0028, 11.0000, -0.7690, 2.9010, 0.0416, 0.0000,
19190.0028, 11.0000, -0.7670, 2.9020, 0.0418, 0.0000,
19191.0028, 11.0000, -0.7658, 2.9030, 0.0420, 0.0000,
19192.0028, 11.0000, -0.7693, 2.9041, 0.0422, 0.0000,
19193.0028, 11.0000, -0.7691, 2.9050, 0.0424, 0.0000,
19194.0028, 11.0000, -0.7675, 2.9059, 0.0427, 0.0000,
19195.0028, 11.0000, -0.7691, 2.9070, 0.0429, 0.0000,
19196.0028, 11.0000, -0.7673, 2.9076, 0.0431, 0.0000,
19197.0028, 11.0000, -0.7673, 2.9089, 0.0433, 0.0000,
19198.0028, 11.0000, -0.7673, 2.9097, 0.0435, 0.0000,
19199.0028, 11.0000, -0.7692, 2.9107, 0.0437, 0.0000,
19200.0028, 11.0000, -0.7673, 2.9116, 0.0439, 0.0000,
19201.0028, 11.0000, -0.7673, 2.9124, 0.0442, 0.0000,
19202.0028, 11.0000, -0.7692, 2.9134, 0.0444, 0.0000,
19203.0028, 11.0000, -0.7674, 2.9144, 0.0446, 0.0000,
19204.0028, 11.0000, -0.7673, 2.9153, 0.0448, 0.0000,
19205.0028, 11.0000, -0.7691, 2.9161, 0.0450, 0.0000,
19206.0028, 11.0000, -0.7693, 2.9169, 0.0452, 0.0000,
19207.0028, 11.0000, -0.7675, 2.9179, 0.0454, 0.0000,
19208.0028, 11.0000, -0.7673, 2.9189, 0.0456, 0.0000,
19209.0028, 11.0000, -0.7655, 2.9197, 0.0459, 0.0000,
19210.0028, 11.0000, -0.7670, 2.9208, 0.0461, 0.0000,
19211.0028, 11.0000, -0.7673, 2.9216, 0.0463, 0.0000,
19212.0028, 11.0000, -0.7673, 2.9224, 0.0465, 0.0000,
19213.0028, 11.0000, -0.7673, 2.9233, 0.0467, 0.0000,
19214.0028, 11.0000, -0.7689, 2.9242, 0.0469, 0.0000,
19215.0028, 11.0000, -0.7677, 2.9251, 0.0471, 0.0000,
19216.0028, 11.0000, -0.7673, 2.9261, 0.0474, 0.0000,
19217.0028, 11.0000, -0.7673, 2.9268, 0.0476, 0.0000,
19218.0028, 11.0000, -0.7688, 2.9277, 0.0478, 0.0000,
19219.0028, 11.0000, -0.7693, 2.9285, 0.0480, 0.0000,
19220.0028, 11.0000, -0.7678, 2.9293, 0.0482, 0.0000,
19221.0028, 11.0000, -0.7673, 2.9302, 0.0484, 0.0000,
19222.0028, 11.0000, -0.7659, 2.9311, 0.0486, 0.0000,
19223.0028, 11.0000, -0.7680, 2.9320, 0.0488, 0.0000,
19224.0028, 11.0000, -0.7693, 2.9328, 0.0491, 0.0000,
19225.0028, 11.0000, -0.7680, 2.9337, 0.0493, 0.0000,
19226.0028, 11.0000, -0.7673, 2.9346, 0.0495, 0.0000,
19227.0028, 11.0000, -0.7673, 2.9354, 0.0497, 0.0000,
19228.0028, 11.0000, -0.7685, 2.9361, 0.0499, 0.0000,
19229.0028, 11.0000, -0.7681, 2.9370, 0.0501, 0.0000,
19230.0028, 11.0000, -0.7661, 2.9377, 0.0503, 0.0000,
19231.0028, 11.0000, -0.7653, 2.9386, 0.0506, 0.0000,
19232.0028, 11.0000, -0.7664, 2.9394, 0.0508, 0.0000,
19233.0028, 11.0000, -0.7673, 2.9402, 0.0510, 0.0000,
19234.0028, 11.0000, -0.7673, 2.9410, 0.0512, 0.0000,
19235.0028, 11.0000, -0.7673, 2.9418, 0.0514, 0.0000,
19236.0028, 11.0000, -0.7683, 2.9426, 0.0516, 0.0000,
19237.0028, 11.0000, -0.7693, 2.9434, 0.0518, 0.0000,
19238.0028, 11.0000, -0.7683, 2.9442, 0.0520, 0.0000,
19239.0028, 11.0000, -0.7682, 2.9451, 0.0523, 0.0000,
19240.0028, 11.0000, -0.7675, 2.9459, 0.0525, 0.0000,
19241.0028, 11.0000, -0.7653, 2.9466, 0.0527, 0.0000,
19242.0028, 11.0000, -0.7670, 2.9475, 0.0529, 0.0000,
19243.0028, 11.0000, -0.7693, 2.9483, 0.0531, 0.0000,
19244.0028, 11.0000, -0.7685, 2.9491, 0.0533, 0.0000,
19245.0028, 11.0000, -0.7665, 2.9497, 0.0535, 0.0000,
19246.0028, 11.0000, -0.7660, 2.9503, 0.0537, 0.0000,
19247.0028, 11.0000, -0.7673, 2.9512, 0.0540, 0.0000,
19248.0028, 11.0000, -0.7680, 2.9521, 0.0542, 0.0000,
19249.0028, 11.0000, -0.7680, 2.9527, 0.0544, 0.0000,
19250.0028, 11.0000, -0.7665, 2.9536, 0.0546, 0.0000,
19251.0028, 11.0000, -0.7693, 2.9544, 0.0548, 0.0000,
19252.0028, 11.0000, -0.7698, 2.9552, 0.0550, 0.0000,
19253.0028, 11.0000, -0.7702, 2.9559, 0.0552, 0.0000,
19254.0028, 11.0000, -0.7673, 2.9566, 0.0555, 0.0000,
19255.0028, 11.0000, -0.7673, 2.9575, 0.0557, 0.0000,
19256.0028, 11.0000, -0.7673, 2.9581, 0.0559, 0.0000,
19257.0028, 11.0000, -0.7669, 2.9589, 0.0561, 0.0000,
19258.0028, 11.0000, -0.7657, 2.9595, 0.0563, 0.0000,
19259.0028, 11.0000, -0.7677, 2.9603, 0.0565, 0.0000,
19260.0028, 11.0000, -0.7693, 2.9611, 0.0567, 0.0000,
19261.0028, 11.0000, -0.7690, 2.9617, 0.0569, 0.0000,
19262.0028, 11.0000, -0.7676, 2.9625, 0.0572, 0.0000,
19263.0028, 11.0000, -0.7693, 2.9633, 0.0574, 0.0000,
19264.0028, 11.0000, -0.7690, 2.9640, 0.0576, 0.0000,
19265.0028, 11.0000, -0.7673, 2.9648, 0.0578, 0.0000,
19266.0028, 11.0000, -0.7675, 2.9654, 0.0580, 0.0000,
19267.0028, 11.0000, -0.7691, 2.9662, 0.0582, 0.0000,
