time, step, current, voltage, chgAh, disAh
19082.0053, 11.0000, -0.7673, 2.2308, 0.0000, 0.0000
19083.0053, 11.0000, -0.7673, 2.3441, 0.0002, 0.0000
19084.0053, 11.0000, -0.7673, 2.4097, 0.0004, 0.0000
19085.0053, 11.0000, -0.7673, 2.4389, 0.0006, 0.0000
19086.0053, 11.0000, -0.7673, 2.4542, 0.0009, 0.0000
19087.0053, 11.0000, -0.7676, 2.4649, 0.0011, 0.0000
19088.0053, 11.0000, -0.7687, 2.4735, 0.0013, 0.0000
19089.0053, 11.0000, -0.7655, 2.4807, 0.0015, 0.0000
19090.0053, 11.0000, -0.7673, 2.4875, 0.0017, 0.0000
19091.0053, 11.0000, -0.7673, 2.4934, 0.0019, 0.0000
19092.0053, 11.0000, -0.7673, 2.4993, 0.0021, 0.0000
19093.0053, 11.0000, -0.7673, 2.5048, 0.0023, 0.0000
19094.0053, 11.0000, -0.7673, 2.5101, 0.0026, 0.0000
19095.0053, 11.0000, -0.7673, 2.5150, 0.0028, 0.0000
19096.0053, 11.0000, -0.7673, 2.5199, 0.0030, 0.0000
19097.0053, 11.0000, -0.7673, 2.5247, 0.0032, 0.0000
19098.0053, 11.0000, -0.7693, 2.5293, 0.0034, 0.0000
19099.0053, 11.0000, -0.7693, 2.5340, 0.0036, 0.0000
19100.0053, 11.0000, -0.7693, 2.5383, 0.0038, 0.0000
19101.0053, 11.0000, -0.7674, 2.5431, 0.0041, 0.0000
19102.0053, 11.0000, -0.7673, 2.5478, 0.0043, 0.0000
19103.0053, 11.0000, -0.7673, 2.5520, 0.0045, 0.0000
19104.0053, 11.0000, -0.7691, 2.5568, 0.0047, 0.0000
19105.0053, 11.0000, -0.7675, 2.5613, 0.0049, 0.0000
19106.0053, 11.0000, -0.7690, 2.5661, 0.0051, 0.0000
19107.0053, 11.0000, -0.7693, 2.5707, 0.0053, 0.0000
19108.0053, 11.0000, -0.7693, 2.5752, 0.0055, 0.0000
19109.0053, 11.0000, -0.7676, 2.5797, 0.0058, 0.0000
19110.0053, 11.0000, -0.7689, 2.5844, 0.0060, 0.0000
19111.0053, 11.0000, -0.7660, 2.5888, 0.0062, 0.0000
19112.0053, 11.0000, -0.7669, 2.5932, 0.0064, 0.0000
19113.0053, 11.0000, -0.7673, 2.5976, 0.0066, 0.0000
19114.0053, 11.0000, -0.7688, 2.6019, 0.0068, 0.0000
19115.0053, 11.0000, -0.7662, 2.6060, 0.0070, 0.0000
19116.0053, 11.0000, -0.7683, 2.6100, 0.0072, 0.0000
19117.0053, 11.0000, -0.7678, 2.6139, 0.0075, 0.0000
19118.0053, 11.0000, -0.7673, 2.6179, 0.0077, 0.0000
19119.0053, 11.0000, -0.7673, 2.6218, 0.0079, 0.0000
19120.0053, 11.0000, -0.7673, 2.6255, 0.0081, 0.0000
19121.0053, 11.0000, -0.7673, 2.6292, 0.0083, 0.0000
19122.0053, 11.0000, -0.7686, 2.6328, 0.0085, 0.0000
19123.0053, 11.0000, -0.7693, 2.6363, 0.0087, 0.0000
19124.0053, 11.0000, -0.7680, 2.6397, 0.0090, 0.0000
19125.0053, 11.0000, -0.7673, 2.6432, 0.0092, 0.0000
19126.0053, 11.0000, -0.7673, 2.6467, 0.0094, 0.0000
19127.0053, 11.0000, -0.7685, 2.6499, 0.0096, 0.0000
19128.0053, 11.0000, -0.7681, 2.6532, 0.0098, 0.0000
19129.0053, 11.0000, -0.7673, 2.6564, 0.0100, 0.0000
19130.0053, 11.0000, -0.7673, 2.6596, 0.0102, 0.0000
19131.0053, 11.0000, -0.7684, 2.6627, 0.0104, 0.0000
19132.0053, 11.0000, -0.7682, 2.6658, 0.0107, 0.0000
19133.0053, 11.0000, -0.7683, 2.6689, 0.0109, 0.0000
