time, step, current, voltage, chgAh, disAh
19139.0090, 11.0000, -0.5567, 2.1458, 0.0000, 0.0000
19140.0090, 11.0000, -0.7687, 2.2917, 0.0002, 0.0000
19141.0090, 11.0000, -0.7665, 2.3816, 0.0004, 0.0000
19142.0090, 11.0000, -0.7667, 2.4277, 0.0006, 0.0000
19143.0090, 11.0000, -0.7673, 2.4495, 0.0009, 0.0000
19144.0090, 11.0000, -0.7673, 2.4626, 0.0011, 0.0000
19145.0090, 11.0000, -0.7673, 2.4722, 0.0013, 0.0000
19146.0090, 11.0000, -0.7673, 2.4803, 0.0015, 0.0000
19147.0090, 11.0000, -0.7685, 2.4875, 0.0017, 0.0000
19148.0090, 11.0000, -0.7681, 2.4938, 0.0019, 0.0000
19149.0090, 11.0000, -0.7673, 2.4997, 0.0021, 0.0000
19150.0090, 11.0000, -0.7684, 2.5053, 0.0023, 0.0000
19151.0090, 11.0000, -0.7682, 2.5106, 0.0026, 0.0000
19152.0090, 11.0000, -0.7673, 2.5158, 0.0028, 0.0000
19153.0090, 11.0000, -0.7673, 2.5208, 0.0030, 0.0000
19154.0090, 11.0000, -0.7683, 2.5255, 0.0032, 0.0000
19155.0090, 11.0000, -0.7693, 2.5303, 0.0034, 0.0000
19156.0090, 11.0000, -0.7683, 2.5348, 0.0036, 0.0000
19157.0090, 11.0000, -0.7673, 2.5395, 0.0038, 0.0000
19158.0090, 11.0000, -0.7673, 2.5441, 0.0041, 0.0000
19159.0090, 11.0000, -0.7673, 2.5486, 0.0043, 0.0000
19160.0090, 11.0000, -0.7673, 2.5530, 0.0045, 0.0000
19161.0090, 11.0000, -0.7673, 2.5577, 0.0047, 0.0000
19162.0090, 11.0000, -0.7681, 2.5624, 0.0049, 0.0000
19163.0090, 11.0000, -0.7685, 2.5669, 0.0051, 0.0000
19164.0090, 11.0000, -0.7673, 2.5715, 0.0053, 0.0000
19165.0090, 11.0000, -0.7673, 2.5762, 0.0055, 0.0000
19166.0090, 11.0000, -0.7680, 2.5807, 0.0058, 0.0000
19167.0090, 11.0000, -0.7693, 2.5852, 0.0060, 0.0000
19168.0090, 11.0000, -0.7686, 2.5897, 0.0062, 0.0000
19169.0090, 11.0000, -0.7679, 2.5941, 0.0064, 0.0000
19170.0090, 11.0000, -0.7693, 2.5984, 0.0066, 0.0000
19171.0090, 11.0000, -0.7687, 2.6030, 0.0068, 0.0000
19172.0090, 11.0000, -0.7678, 2.6070, 0.0070, 0.0000
19173.0090, 11.0000, -0.7688, 2.6110, 0.0072, 0.0000
19174.0090, 11.0000, -0.7673, 2.6151, 0.0075, 0.0000
19175.0090, 11.0000, -0.7673, 2.6191, 0.0077, 0.0000
19176.0090, 11.0000, -0.7677, 2.6229, 0.0079, 0.0000
19177.0090, 11.0000, -0.7689, 2.6266, 0.0081, 0.0000
19178.0090, 11.0000, -0.7677, 2.6303, 0.0083, 0.0000
19179.0090, 11.0000, -0.7693, 2.6340, 0.0085, 0.0000
19180.0090, 11.0000, -0.7690, 2.6375, 0.0087, 0.0000
19181.0090, 11.0000, -0.7670, 2.6409, 0.0090, 0.0000
19182.0090, 11.0000, -0.7656, 2.6444, 0.0092, 0.0000
19183.0090, 11.0000, -0.7673, 2.6477, 0.0094, 0.0000
19184.0090, 11.0000, -0.7673, 2.6511, 0.0096, 0.0000
19185.0090, 11.0000, -0.7673, 2.6543, 0.0098, 0.0000
19186.0090, 11.0000, -0.7673, 2.6577, 0.0100, 0.0000
19187.0090, 11.0000, -0.7675, 2.6609, 0.0102, 0.0000
19188.0090, 11.0000, -0.7711, 2.6641, 0.0104, 0.0000
19189.0090, 11.0000, -0.7673, 2.6668, 0.0107, 0.0000
19190.0090, 11.0000, -0.7673, 2.6700, 0.0109, 0.0000
19191.0090, 11.0000, -0.7673, 2.6731, 0.0111, 0.0000
19192.0090, 11.0000, -0.7673, 2.6760, 0.0113, 0.0000
19193.0090, 11.0000, -0.7673, 2.6790, 0.0115, 0.0000
19194.0090, 11.0000, -0.7673, 2.6817, 0.0117, 0.0000
19195.0090, 11.0000, -0.7692, 2.6846, 0.0119, 0.0000
19196.0090, 11.0000, -0.7674, 2.6874, 0.0122, 0.0000
19197.0090, 11.0000, -0.7691, 2.6901, 0.0124, 0.0000
19198.0090, 11.0000, -0.7657, 2.6927, 0.0126, 0.0000
19199.0090, 11.0000, -0.7689, 2.6955, 0.0128, 0.0000
19200.0090, 11.0000, -0.7658, 2.6981, 0.0130, 0.0000
19201.0090, 11.0000, -0.7653, 2.7008, 0.0132, 0.0000
19202.0090, 11.0000, -0.7670, 2.7033, 0.0134, 0.0000
19203.0090, 11.0000, -0.7690, 2.7060, 0.0136, 0.0000
19204.0090, 11.0000, -0.7676, 2.7084, 0.0139, 0.0000
19205.0090, 11.0000, -0.7657, 2.7108, 0.0141, 0.0000
19206.0090, 11.0000, -0.7669, 2.7134, 0.0143, 0.0000
19207.0090, 11.0000, -0.7673, 2.7157, 0.0145, 0.0000
19208.0090, 11.0000, -0.7658, 2.7181, 0.0147, 0.0000
19209.0090, 11.0000, -0.7668, 2.7205, 0.0149, 0.0000
19210.0090, 11.0000, -0.7658, 2.7228, 0.0151, 0.0000
19211.0090, 11.0000, -0.7682, 2.7251, 0.0154, 0.0000
