time, step, current, voltage, chgAh, disAh
19023.0117, 11.0000, -0.7659, 2.2414, 0.0000, 0.0000,
19024.0117, 11.0000, -0.7673, 2.3497, 0.0002, 0.0000,
19025.0117, 11.0000, -0.7673, 2.4111, 0.0004, 0.0000,
19026.0117, 11.0000, -0.7673, 2.4388, 0.0006, 0.0000,
19027.0117, 11.0000, -0.7673, 2.4534, 0.0009, 0.0000,
19028.0117, 11.0000, -0.7678, 2.4638, 0.0011, 0.0000,
19029.0117, 11.0000, -0.7688, 2.4724, 0.0013, 0.0000,
19030.0117, 11.0000, -0.7673, 2.4797, 0.0015, 0.0000,
19031.0117, 11.0000, -0.7673, 2.4865, 0.0017, 0.0000,
19032.0117, 11.0000, -0.7673, 2.4925, 0.0019, 0.0000,
19033.0117, 11.0000, -0.7669, 2.4982, 0.0021, 0.0000,
19034.0117, 11.0000, -0.7656, 2.5037, 0.0023, 0.0000,
19035.0117, 11.0000, -0.7673, 2.5091, 0.0026, 0.0000,
19036.0117, 11.0000, -0.7673, 2.5140, 0.0028, 0.0000,
19037.0117, 11.0000, -0.7673, 2.5190, 0.0030, 0.0000,
19038.0117, 11.0000, -0.7673, 2.5236, 0.0032, 0.0000,
19039.0117, 11.0000, -0.7673, 2.5283, 0.0034, 0.0000,
19040.0117, 11.0000, -0.7673, 2.5331, 0.0036, 0.0000,
19041.0117, 11.0000, -0.7672, 2.5376, 0.0038, 0.0000,
19042.0117, 11.0000, -0.7654, 2.5421, 0.0041, 0.0000,
19043.0117, 11.0000, -0.7673, 2.5467, 0.0043, 0.0000,
19044.0117, 11.0000, -0.7673, 2.5511, 0.0045, 0.0000,
19045.0117, 11.0000, -0.7673, 2.5559, 0.0047, 0.0000,
19046.0117, 11.0000, -0.7693, 2.5605, 0.0049, 0.0000,
19047.0117, 11.0000, -0.7673, 2.5652, 0.0051, 0.0000,
19048.0117, 11.0000, -0.7673, 2.5699, 0.0053, 0.0000,
19049.0117, 11.0000, -0.7673, 2.5745, 0.0055, 0.0000,
19050.0117, 11.0000, -0.7673, 2.5792, 0.0058, 0.0000,
19051.0117, 11.0000, -0.7673, 2.5837, 0.0060, 0.0000,
19052.0117, 11.0000, -0.7691, 2.5882, 0.0062, 0.0000,
19053.0117, 11.0000, -0.7675, 2.5925, 0.0064, 0.0000,
19054.0117, 11.0000, -0.7673, 2.5970, 0.0066, 0.0000,
19055.0117, 11.0000, -0.7656, 2.6012, 0.0068, 0.0000,
19056.0117, 11.0000, -0.7670, 2.6054, 0.0070, 0.0000,
19057.0117, 11.0000, -0.7673, 2.6094, 0.0072, 0.0000,
19058.0117, 11.0000, -0.7673, 2.6134, 0.0075, 0.0000,
19059.0117, 11.0000, -0.7673, 2.6176, 0.0077, 0.0000,
19060.0117, 11.0000, -0.7673, 2.6214, 0.0079, 0.0000,
19061.0117, 11.0000, -0.7688, 2.6252, 0.0081, 0.0000,
19062.0117, 11.0000, -0.7693, 2.6288, 0.0083, 0.0000,
19063.0117, 11.0000, -0.7678, 2.6323, 0.0085, 0.0000,
19064.0117, 11.0000, -0.7658, 2.6360, 0.0087, 0.0000,
19065.0117, 11.0000, -0.7667, 2.6394, 0.0090, 0.0000,
19066.0117, 11.0000, -0.7659, 2.6429, 0.0092, 0.0000,
19067.0117, 11.0000, -0.7667, 2.6463, 0.0094, 0.0000,
19068.0117, 11.0000, -0.7673, 2.6496, 0.0096, 0.0000,
19069.0117, 11.0000, -0.7686, 2.6529, 0.0098, 0.0000,
19070.0117, 11.0000, -0.7680, 2.6562, 0.0100, 0.0000,
19071.0117, 11.0000, -0.7686, 2.6594, 0.0102, 0.0000,
19072.0117, 11.0000, -0.7680, 2.6625, 0.0104, 0.0000,
19073.0117, 11.0000, -0.7673, 2.6652, 0.0107, 0.0000,
19074.0117, 11.0000, -0.7673, 2.6684, 0.0109, 0.0000,
19075.0117, 11.0000, -0.7661, 2.6715, 0.0111, 0.0000,
19076.0117, 11.0000, -0.7664, 2.6745, 0.0113, 0.0000,
19077.0117, 11.0000, -0.7673, 2.6775, 0.0115, 0.0000,
19078.0117, 11.0000, -0.7684, 2.6804, 0.0117, 0.0000,
19079.0117, 11.0000, -0.7693, 2.6832, 0.0119, 0.0000,
19080.0117, 11.0000, -0.7682, 2.6860, 0.0122, 0.0000,
19081.0117, 11.0000, -0.7673, 2.6888, 0.0124, 0.0000,
19082.0117, 11.0000, -0.7673, 2.6914, 0.0126, 0.0000,
19083.0117, 11.0000, -0.7673, 2.6940, 0.0128, 0.0000,
19084.0117, 11.0000, -0.7673, 2.6967, 0.0130, 0.0000,
19085.0117, 11.0000, -0.7673, 2.6995, 0.0132, 0.0000,
19086.0117, 11.0000, -0.7673, 2.7022, 0.0134, 0.0000,
19087.0117, 11.0000, -0.7681, 2.7046, 0.0136, 0.0000,
19088.0117, 11.0000, -0.7685, 2.7070, 0.0139, 0.0000,
19089.0117, 11.0000, -0.7673, 2.7095, 0.0141, 0.0000,
19090.0117, 11.0000, -0.7673, 2.7120, 0.0143, 0.0000,
19091.0117, 11.0000, -0.7673, 2.7144, 0.0145, 0.0000,
19092.0117, 11.0000, -0.7680, 2.7168, 0.0147, 0.0000,
19093.0117, 11.0000, -0.7686, 2.7192, 0.0149, 0.0000,
19094.0117, 11.0000, -0.7673, 2.7214, 0.0151, 0.0000,
19095.0117, 11.0000, -0.7673, 2.7237, 0.0154, 0.0000,
19096.0117, 11.0000, -0.7679, 2.7260, 0.0156, 0.0000,
19097.0117, 11.0000, -0.7687, 2.7283, 0.0158, 0.0000,
19098.0117, 11.0000, -0.7667, 2.7305, 0.0160, 0.0000,
19099.0117, 11.0000, -0.7658, 2.7328, 0.0162, 0.0000,
19100.0117, 11.0000, -0.7678, 2.7350, 0.0164, 0.0000,
19101.0117, 11.0000, -0.7693, 2.7370, 0.0166, 0.0000,
19102.0117, 11.0000, -0.7693, 2.7393, 0.0168, 0.0000,
19103.0117, 11.0000, -0.7689, 2.7413, 0.0171, 0.0000,
19104.0117, 11.0000, -0.7673, 2.7434, 0.0173, 0.0000,
19105.0117, 11.0000, -0.7673, 2.7455, 0.0175, 0.0000,
19106.0117, 11.0000, -0.7673, 2.7476, 0.0177, 0.0000,
19107.0117, 11.0000, -0.7670, 2.7495, 0.0179, 0.0000,
19108.0117, 11.0000, -0.7656, 2.7514, 0.0181, 0.0000,
19109.0117, 11.0000, -0.7675, 2.7534, 0.0183, 0.0000,
19110.0117, 11.0000, -0.7691, 2.7554, 0.0186, 0.0000,
19111.0117, 11.0000, -0.7673, 2.7572, 0.0188, 0.0000,
19112.0117, 11.0000, -0.7673, 2.7591, 0.0190, 0.0000,
19113.0117, 11.0000, -0.7673, 2.7611, 0.0192, 0.0000,
19114.0117, 11.0000, -0.7673, 2.7630, 0.0194, 0.0000,
19115.0117, 11.0000, -0.7672, 2.7649, 0.0196, 0.0000,
19116.0117, 11.0000, -0.7653, 2.7665, 0.0198, 0.0000,
19117.0117, 11.0000, -0.7673, 2.7684, 0.0200, 0.0000,
19118.0117, 11.0000, -0.7693, 2.7704, 0.0203, 0.0000,
19119.0117, 11.0000, -0.7673, 2.7721, 0.0205, 0.0000,
19120.0117, 11.0000, -0.7692, 2.7737, 0.0207, 0.0000,
19121.0117, 11.0000, -0.7674, 2.7757, 0.0209, 0.0000,
19122.0117, 11.0000, -0.7654, 2.7773, 0.0211, 0.0000,
19123.0117, 11.0000, -0.7653, 2.7792, 0.0213, 0.0000,
19124.0117, 11.0000, -0.7671, 2.7808, 0.0215, 0.0000,
19125.0117, 11.0000, -0.7655, 2.7826, 0.0217, 0.0000,
19126.0117, 11.0000, -0.7688, 2.7842, 0.0220, 0.0000,
19127.0117, 11.0000, -0.7675, 2.7859, 0.0222, 0.0000,
19128.0117, 11.0000, -0.7673, 2.7876, 0.0224, 0.0000,
19129.0117, 11.0000, -0.7673, 2.7893, 0.0226, 0.0000,
19130.0117, 11.0000, -0.7673, 2.7908, 0.0228, 0.0000,
19131.0117, 11.0000, -0.7673, 2.7925, 0.0230, 0.0000,
19132.0117, 11.0000, -0.7673, 2.7941, 0.0232, 0.0000,
19133.0117, 11.0000, -0.7673, 2.7957, 0.0235, 0.0000,
19134.0117, 11.0000, -0.7673, 2.7972, 0.0237, 0.0000,
19135.0117, 11.0000, -0.7658, 2.7987, 0.0239, 0.0000,
19136.0117, 11.0000, -0.7668, 2.8004, 0.0241, 0.0000,
19137.0117, 11.0000, -0.7673, 2.8019, 0.0243, 0.0000,
19138.0117, 11.0000, -0.7673, 2.8033, 0.0245, 0.0000,
19139.0117, 11.0000, -0.7673, 2.8050, 0.0247, 0.0000,
19140.0117, 11.0000, -0.7687, 2.8067, 0.0249, 0.0000,
19141.0117, 11.0000, -0.7679, 2.8081, 0.0252, 0.0000,
19142.0117, 11.0000, -0.7673, 2.8096, 0.0254, 0.0000,
19143.0117, 11.0000, -0.7686, 2.8111, 0.0256, 0.0000,
19144.0117, 11.0000, -0.7680, 2.8125, 0.0258, 0.0000,
19145.0117, 11.0000, -0.7673, 2.8139, 0.0260, 0.0000,
19146.0117, 11.0000, -0.7685, 2.8154, 0.0262, 0.0000,
19147.0117, 11.0000, -0.7681, 2.8168, 0.0264, 0.0000,
19148.0117, 11.0000, -0.7673, 2.8184, 0.0267, 0.0000,
19149.0117, 11.0000, -0.7673, 2.8198, 0.0269, 0.0000,
19150.0117, 11.0000, -0.7684, 2.8212, 0.0271, 0.0000,
19151.0117, 11.0000, -0.7682, 2.8227, 0.0273, 0.0000,
19152.0117, 11.0000, -0.7683, 2.8240, 0.0275, 0.0000,
19153.0117, 11.0000, -0.7682, 2.8254, 0.0277, 0.0000,
19154.0117, 11.0000, -0.7683, 2.8268, 0.0279, 0.0000,
19155.0117, 11.0000, -0.7683, 2.8282, 0.0281, 0.0000,
19156.0117, 11.0000, -0.7673, 2.8297, 0.0284, 0.0000,
19157.0117, 11.0000, -0.7673, 2.8310, 0.0286, 0.0000,
19158.0117, 11.0000, -0.7673, 2.8322, 0.0288, 0.0000,
19159.0117, 11.0000, -0.7681, 2.8334, 0.0290, 0.0000,
19160.0117, 11.0000, -0.7693, 2.8349, 0.0292, 0.0000,
19161.0117, 11.0000, -0.7693, 2.8364, 0.0294, 0.0000,
19162.0117, 11.0000, -0.7693, 2.8378, 0.0296, 0.0000,
19163.0117, 11.0000, -0.7700, 2.8390, 0.0299, 0.0000,
19164.0117, 11.0000, -0.7691, 2.8402, 0.0301, 0.0000,
19165.0117, 11.0000, -0.7653, 2.8414, 0.0303, 0.0000,
19166.0117, 11.0000, -0.7660, 2.8426, 0.0305, 0.0000,
19167.0117, 11.0000, -0.7673, 2.8440, 0.0307, 0.0000,
19168.0117, 11.0000, -0.7679, 2.8453, 0.0309, 0.0000,
19169.0117, 11.0000, -0.7681, 2.8465, 0.0311, 0.0000,
19170.0117, 11.0000, -0.7664, 2.8478, 0.0313, 0.0000,
19171.0117, 11.0000, -0.7687, 2.8491, 0.0316, 0.0000,
19172.0117, 11.0000, -0.7673, 2.8503, 0.0318, 0.0000,
19173.0117, 11.0000, -0.7673, 2.8516, 0.0320, 0.0000,
19174.0117, 11.0000, -0.7673, 2.8528, 0.0322, 0.0000,
19175.0117, 11.0000, -0.7677, 2.8538, 0.0324, 0.0000,
19176.0117, 11.0000, -0.7689, 2.8552, 0.0326, 0.0000,
19177.0117, 11.0000, -0.7669, 2.8564, 0.0328, 0.0000,
19178.0117, 11.0000, -0.7656, 2.8577, 0.0330, 0.0000,
