time, step, current, voltage, chgAh, disAh
19103.0011, 11.0000, -0.7100, 2.1891, 0.0000, 0.0000,
19104.0011, 11.0000, -0.7655, 2.3187, 0.0002, 0.0000,
19105.0011, 11.0000, -0.7671, 2.3967, 0.0004, 0.0000,
19106.0011, 11.0000, -0.7690, 2.4330, 0.0006, 0.0000,
19107.0011, 11.0000, -0.7675, 2.4509, 0.0009, 0.0000,
19108.0011, 11.0000, -0.7673, 2.4626, 0.0011, 0.0000,
19109.0011, 11.0000, -0.7673, 2.4717, 0.0013, 0.0000,
19110.0011, 11.0000, -0.7706, 2.4795, 0.0015, 0.0000,
19111.0011, 11.0000, -0.7680, 2.4863, 0.0017, 0.0000,
19112.0011, 11.0000, -0.7673, 2.4925, 0.0019, 0.0000,
19113.0011, 11.0000, -0.7673, 2.4984, 0.0021, 0.0000,
19114.0011, 11.0000, -0.7673, 2.5039, 0.0023, 0.0000,
19115.0011, 11.0000, -0.7673, 2.5092, 0.0026, 0.0000,
19116.0011, 11.0000, -0.7688, 2.5144, 0.0028, 0.0000,
19117.0011, 11.0000, -0.7707, 2.5193, 0.0030, 0.0000,
19118.0011, 11.0000, -0.7698, 2.5241, 0.0032, 0.0000,
19119.0011, 11.0000, -0.7679, 2.5289, 0.0034, 0.0000,
19120.0011, 11.0000, -0.7673, 2.5335, 0.0036, 0.0000,
19121.0011, 11.0000, -0.7673, 2.5380, 0.0038, 0.0000,
19122.0011, 11.0000, -0.7686, 2.5426, 0.0041, 0.0000,
19123.0011, 11.0000, -0.7680, 2.5471, 0.0043, 0.0000,
19124.0011, 11.0000, -0.7685, 2.5517, 0.0045, 0.0000,
19125.0011, 11.0000, -0.7705, 2.5563, 0.0047, 0.0000,
19126.0011, 11.0000, -0.7700, 2.5608, 0.0049, 0.0000,
19127.0011, 11.0000, -0.7693, 2.5654, 0.0051, 0.0000,
19128.0011, 11.0000, -0.7693, 2.5702, 0.0053, 0.0000,
19129.0011, 11.0000, -0.7681, 2.5747, 0.0055, 0.0000,
19130.0011, 11.0000, -0.7673, 2.5793, 0.0058, 0.0000,
19131.0011, 11.0000, -0.7673, 2.5839, 0.0060, 0.0000,
19132.0011, 11.0000, -0.7683, 2.5884, 0.0062, 0.0000,
19133.0011, 11.0000, -0.7683, 2.5929, 0.0064, 0.0000,
19134.0011, 11.0000, -0.7683, 2.5973, 0.0066, 0.0000,
19135.0011, 11.0000, -0.7683, 2.6015, 0.0068, 0.0000,
19136.0011, 11.0000, -0.7673, 2.6056, 0.0070, 0.0000,
19137.0011, 11.0000, -0.7682, 2.6098, 0.0073, 0.0000,
19138.0011, 11.0000, -0.7684, 2.6138, 0.0075, 0.0000,
19139.0011, 11.0000, -0.7673, 2.6178, 0.0077, 0.0000,
19140.0011, 11.0000, -0.7681, 2.6216, 0.0079, 0.0000,
19141.0011, 11.0000, -0.7685, 2.6254, 0.0081, 0.0000,
19142.0011, 11.0000, -0.7681, 2.6290, 0.0083, 0.0000,
19143.0011, 11.0000, -0.7693, 2.6327, 0.0085, 0.0000,
19144.0011, 11.0000, -0.7686, 2.6364, 0.0087, 0.0000,
19145.0011, 11.0000, -0.7673, 2.6397, 0.0090, 0.0000,
19146.0011, 11.0000, -0.7673, 2.6431, 0.0092, 0.0000,
19147.0011, 11.0000, -0.7667, 2.6465, 0.0094, 0.0000,
19148.0011, 11.0000, -0.7659, 2.6498, 0.0096, 0.0000,
19149.0011, 11.0000, -0.7684, 2.6532, 0.0098, 0.0000,
19150.0011, 11.0000, -0.7702, 2.6564, 0.0100, 0.0000,
19151.0011, 11.0000, -0.7673, 2.6596, 0.0102, 0.0000,
19152.0011, 11.0000, -0.7668, 2.6628, 0.0105, 0.0000,
19153.0011, 11.0000, -0.7658, 2.6658, 0.0107, 0.0000,
19154.0011, 11.0000, -0.7673, 2.6689, 0.0109, 0.0000,
19155.0011, 11.0000, -0.7673, 2.6719, 0.0111, 0.0000,
19156.0011, 11.0000, -0.7681, 2.6749, 0.0113, 0.0000,
19157.0011, 11.0000, -0.7709, 2.6778, 0.0115, 0.0000,
19158.0011, 11.0000, -0.7696, 2.6807, 0.0117, 0.0000,
19159.0011, 11.0000, -0.7710, 2.6836, 0.0119, 0.0000,
19160.0011, 11.0000, -0.7690, 2.6863, 0.0122, 0.0000,
19161.0011, 11.0000, -0.7673, 2.6890, 0.0124, 0.0000,
19162.0011, 11.0000, -0.7673, 2.6917, 0.0126, 0.0000,
19163.0011, 11.0000, -0.7673, 2.6945, 0.0128, 0.0000,
19164.0011, 11.0000, -0.7675, 2.6970, 0.0130, 0.0000,
19165.0011, 11.0000, -0.7694, 2.6996, 0.0132, 0.0000,
19166.0011, 11.0000, -0.7710, 2.7023, 0.0134, 0.0000,
19167.0011, 11.0000, -0.7673, 2.7047, 0.0137, 0.0000,
19168.0011, 11.0000, -0.7673, 2.7075, 0.0139, 0.0000,
19169.0011, 11.0000, -0.7673, 2.7097, 0.0141, 0.0000,
19170.0011, 11.0000, -0.7673, 2.7123, 0.0143, 0.0000,
19171.0011, 11.0000, -0.7673, 2.7147, 0.0145, 0.0000,
19172.0011, 11.0000, -0.7692, 2.7172, 0.0147, 0.0000,
19173.0011, 11.0000, -0.7674, 2.7195, 0.0149, 0.0000,
19174.0011, 11.0000, -0.7710, 2.7221, 0.0151, 0.0000,
19175.0011, 11.0000, -0.7694, 2.7242, 0.0154, 0.0000,
19176.0011, 11.0000, -0.7674, 2.7264, 0.0156, 0.0000,
19177.0011, 11.0000, -0.7673, 2.7285, 0.0158, 0.0000,
19178.0011, 11.0000, -0.7673, 2.7309, 0.0160, 0.0000,
19179.0011, 11.0000, -0.7673, 2.7331, 0.0162, 0.0000,
19180.0011, 11.0000, -0.7656, 2.7351, 0.0164, 0.0000,
19181.0011, 11.0000, -0.7687, 2.7373, 0.0166, 0.0000,
19182.0011, 11.0000, -0.7676, 2.7396, 0.0169, 0.0000,
19183.0011, 11.0000, -0.7689, 2.7417, 0.0171, 0.0000,
19184.0011, 11.0000, -0.7677, 2.7436, 0.0173, 0.0000,
19185.0011, 11.0000, -0.7673, 2.7457, 0.0175, 0.0000,
19186.0011, 11.0000, -0.7688, 2.7478, 0.0177, 0.0000,
19187.0011, 11.0000, -0.7677, 2.7497, 0.0179, 0.0000,
19188.0011, 11.0000, -0.7673, 2.7517, 0.0181, 0.0000,
19189.0011, 11.0000, -0.7688, 2.7537, 0.0183, 0.0000,
19190.0011, 11.0000, -0.7693, 2.7557, 0.0186, 0.0000,
19191.0011, 11.0000, -0.7693, 2.7576, 0.0188, 0.0000,
19192.0011, 11.0000, -0.7679, 2.7594, 0.0190, 0.0000,
19193.0011, 11.0000, -0.7673, 2.7614, 0.0192, 0.0000,
19194.0011, 11.0000, -0.7673, 2.7632, 0.0194, 0.0000,
19195.0011, 11.0000, -0.7673, 2.7651, 0.0196, 0.0000,
19196.0011, 11.0000, -0.7686, 2.7670, 0.0198, 0.0000,
19197.0011, 11.0000, -0.7680, 2.7687, 0.0201, 0.0000,
19198.0011, 11.0000, -0.7685, 2.7705, 0.0203, 0.0000,
19199.0011, 11.0000, -0.7693, 2.7723, 0.0205, 0.0000,
19200.0011, 11.0000, -0.7693, 2.7741, 0.0207, 0.0000,
19201.0011, 11.0000, -0.7681, 2.7759, 0.0209, 0.0000,
19202.0011, 11.0000, -0.7673, 2.7775, 0.0211, 0.0000,
19203.0011, 11.0000, -0.7662, 2.7792, 0.0213, 0.0000,
19204.0011, 11.0000, -0.7664, 2.7810, 0.0215, 0.0000,
19205.0011, 11.0000, -0.7683, 2.7827, 0.0218, 0.0000,
19206.0011, 11.0000, -0.7693, 2.7845, 0.0220, 0.0000,
19207.0011, 11.0000, -0.7693, 2.7862, 0.0222, 0.0000,
19208.0011, 11.0000, -0.7683, 2.7879, 0.0224, 0.0000,
19209.0011, 11.0000, -0.7673, 2.7894, 0.0226, 0.0000,
19210.0011, 11.0000, -0.7682, 2.7909, 0.0228, 0.0000,
19211.0011, 11.0000, -0.7684, 2.7925, 0.0230, 0.0000,
19212.0011, 11.0000, -0.7673, 2.7942, 0.0233, 0.0000,
19213.0011, 11.0000, -0.7681, 2.7958, 0.0235, 0.0000,
19214.0011, 11.0000, -0.7693, 2.7974, 0.0237, 0.0000,
19215.0011, 11.0000, -0.7685, 2.7990, 0.0239, 0.0000,
