time, step, current, voltage, chgAh, disAh
6901.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6902.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6903.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6904.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6905.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6906.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6907.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6908.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6909.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6910.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6911.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6912.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6913.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6914.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6915.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6916.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6917.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6918.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6919.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6920.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6921.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6922.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6923.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6924.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6925.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6926.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6927.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6928.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6929.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6930.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6931.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6932.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6933.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6934.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6935.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6936.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6937.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6938.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6939.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6940.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6941.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6942.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6943.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6944.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6945.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6946.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6947.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6948.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6949.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6950.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6951.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6952.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6953.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6954.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6955.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6956.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6957.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6958.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6959.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6960.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6961.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6962.0159, 1.0000, -0.0000, 3.5764, 0.0000, 0.0000
6963.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6964.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6965.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6966.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6967.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6968.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6969.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6970.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6971.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6972.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6973.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6974.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6975.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6976.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
6977.0159, 1.0000, -0.0000, 3.5765, 0.0000, 0.0000
