time, step, current, voltage, chgAh, disAh
19138.0052, 11.0000, -0.6728, 2.1789, 0.0000, 0.0000
19139.0052, 11.0000, -0.7670, 2.3122, 0.0002, 0.0000
19140.0052, 11.0000, -0.7673, 2.3939, 0.0004, 0.0000
19141.0052, 11.0000, -0.7673, 2.4337, 0.0006, 0.0000
19142.0052, 11.0000, -0.7689, 2.4529, 0.0009, 0.0000
19143.0052, 11.0000, -0.7677, 2.4649, 0.0011, 0.0000
19144.0052, 11.0000, -0.7689, 2.4744, 0.0013, 0.0000
19145.0052, 11.0000, -0.7693, 2.4821, 0.0015, 0.0000
19146.0052, 11.0000, -0.7677, 2.4892, 0.0017, 0.0000
19147.0052, 11.0000, -0.7658, 2.4953, 0.0019, 0.0000
19148.0052, 11.0000, -0.7668, 2.5011, 0.0021, 0.0000
19149.0052, 11.0000, -0.7658, 2.5068, 0.0023, 0.0000
19150.0052, 11.0000, -0.7667, 2.5122, 0.0026, 0.0000
19151.0052, 11.0000, -0.7659, 2.5173, 0.0028, 0.0000
19152.0052, 11.0000, -0.7667, 2.5221, 0.0030, 0.0000
19153.0052, 11.0000, -0.7673, 2.5269, 0.0032, 0.0000
19154.0052, 11.0000, -0.7660, 2.5316, 0.0034, 0.0000
19155.0052, 11.0000, -0.7666, 2.5363, 0.0036, 0.0000
19156.0052, 11.0000, -0.7673, 2.5407, 0.0038, 0.0000
19157.0052, 11.0000, -0.7673, 2.5454, 0.0041, 0.0000
19158.0052, 11.0000, -0.7673, 2.5499, 0.0043, 0.0000
19159.0052, 11.0000, -0.7661, 2.5543, 0.0045, 0.0000
19160.0052, 11.0000, -0.7664, 2.5590, 0.0047, 0.0000
19161.0052, 11.0000, -0.7684, 2.5636, 0.0049, 0.0000
19162.0052, 11.0000, -0.7682, 2.5682, 0.0051, 0.0000
19163.0052, 11.0000, -0.7683, 2.5729, 0.0053, 0.0000
19164.0052, 11.0000, -0.7682, 2.5775, 0.0055, 0.0000
19165.0052, 11.0000, -0.7673, 2.5820, 0.0058, 0.0000
19166.0052, 11.0000, -0.7663, 2.5864, 0.0060, 0.0000
19167.0052, 11.0000, -0.7663, 2.5909, 0.0062, 0.0000
19168.0052, 11.0000, -0.7682, 2.5954, 0.0064, 0.0000
19169.0052, 11.0000, -0.7693, 2.5998, 0.0066, 0.0000
19170.0052, 11.0000, -0.7684, 2.6040, 0.0068, 0.0000
19171.0052, 11.0000, -0.7673, 2.6083, 0.0070, 0.0000
19172.0052, 11.0000, -0.7673, 2.6124, 0.0072, 0.0000
19173.0052, 11.0000, -0.7681, 2.6164, 0.0075, 0.0000
19174.0052, 11.0000, -0.7685, 2.6203, 0.0077, 0.0000
19175.0052, 11.0000, -0.7673, 2.6240, 0.0079, 0.0000
19176.0052, 11.0000, -0.7680, 2.6278, 0.0081, 0.0000
19177.0052, 11.0000, -0.7686, 2.6315, 0.0083, 0.0000
19178.0052, 11.0000, -0.7679, 2.6350, 0.0085, 0.0000
19179.0052, 11.0000, -0.7693, 2.6386, 0.0087, 0.0000
19180.0052, 11.0000, -0.7687, 2.6422, 0.0090, 0.0000
19181.0052, 11.0000, -0.7673, 2.6455, 0.0092, 0.0000
19182.0052, 11.0000, -0.7673, 2.6489, 0.0094, 0.0000
19183.0052, 11.0000, -0.7673, 2.6521, 0.0096, 0.0000
19184.0052, 11.0000, -0.7673, 2.6554, 0.0098, 0.0000
19185.0052, 11.0000, -0.7677, 2.6588, 0.0100, 0.0000
19186.0052, 11.0000, -0.7688, 2.6617, 0.0102, 0.0000
19187.0052, 11.0000, -0.7677, 2.6649, 0.0104, 0.0000
19188.0052, 11.0000, -0.7689, 2.6681, 0.0107, 0.0000
19189.0052, 11.0000, -0.7673, 2.6711, 0.0109, 0.0000
19190.0052, 11.0000, -0.7673, 2.6740, 0.0111, 0.0000
19191.0052, 11.0000, -0.7670, 2.6769, 0.0113, 0.0000
19192.0052, 11.0000, -0.7656, 2.6800, 0.0115, 0.0000
19193.0052, 11.0000, -0.7670, 2.6828, 0.0117, 0.0000
19194.0052, 11.0000, -0.7657, 2.6854, 0.0119, 0.0000
19195.0052, 11.0000, -0.7691, 2.6884, 0.0122, 0.0000
19196.0052, 11.0000, -0.7673, 2.6910, 0.0124, 0.0000
19197.0052, 11.0000, -0.7673, 2.6939, 0.0126, 0.0000
19198.0052, 11.0000, -0.7673, 2.6966, 0.0128, 0.0000
19199.0052, 11.0000, -0.7673, 2.6992, 0.0130, 0.0000
19200.0052, 11.0000, -0.7673, 2.7018, 0.0132, 0.0000
19201.0052, 11.0000, -0.7673, 2.7043, 0.0134, 0.0000
19202.0052, 11.0000, -0.7693, 2.7071, 0.0136, 0.0000
19203.0052, 11.0000, -0.7673, 2.7093, 0.0139, 0.0000
19204.0052, 11.0000, -0.7673, 2.7119, 0.0141, 0.0000
19205.0052, 11.0000, -0.7673, 2.7141, 0.0143, 0.0000
19206.0052, 11.0000, -0.7673, 2.7165, 0.0145, 0.0000
19207.0052, 11.0000, -0.7673, 2.7189, 0.0147, 0.0000
19208.0052, 11.0000, -0.7673, 2.7213, 0.0149, 0.0000
19209.0052, 11.0000, -0.7691, 2.7237, 0.0151, 0.0000
19210.0052, 11.0000, -0.7693, 2.7260, 0.0154, 0.0000
19211.0052, 11.0000, -0.7658, 2.7281, 0.0156, 0.0000
19212.0052, 11.0000, -0.7670, 2.7305, 0.0158, 0.0000
19213.0052, 11.0000, -0.7656, 2.7326, 0.0160, 0.0000
19214.0052, 11.0000, -0.7669, 2.7351, 0.0162, 0.0000
